Subject,SO-Average,E-Z Male-Female,S-Z Same-Other,Self-Reported  Nonconformity,Video-Rated Adulthood Nonconformity
111,3,0.141206764,1.780134012,3.75,4.19047619
112,6,-0.067749234,-1.23091491,2.5,2.666666667
113,6,0.52410164,1.840882183,4.416666667,5.666666667
114,5,-0.04114715,-1.864100801,1.833333333,3.142857143
115,1,-0.041502319,-1.854006514,2.75,3
116,6,-0.042918635,-1.264051457,3.333333333,3.476190476
117,0.5,-0.255612542,1.759779411,3.75,4.857142857
118,2.5,0.206547818,1.863786022,2.5,2.476190476
119,6,0.484984041,1.865285485,1.666666667,2.380952381
120,6,-0.160789594,0.423659273,3.916666667,3.428571429
121,6,1.043050097,1.86539812,4.666666667,4.571428571
122,6,-0.963200875,0.138154157,3.083333333,3.142857143
123,3,-0.367265754,-1.782415366,1.666666667,3.047619048
124,6,0.345790014,-1.821214548,1.166666667,2.428571429
125,0.5,-1.060403955,0.647669403,2,2.047619048
126,0,-0.419146634,-1.863786022,2.948302002,4.333333333
127,4,-0.25344712,0.508391127,2,3.590909091
128,3,-0.098429244,0.84016805,2.833333333,4.590909091
129,5,-0.112572702,-1.859102245,2.333333333,2.409090909
130,1.5,-0.290498821,-1.833121936,2.833333333,3.409090909
131,0,-0.696006577,-1.810878041,1.833333333,2.363636364
132,0,0.388524186,-1.828955107,1,1.954545455
133,1,-0.18926631,-1.853350212,1,2.772727273
134,0,0.895734865,-0.956382071,2.083333333,4.181818182
135,0,-0.424722429,-1.602433171,1.666666667,4
136,5.5,0.197166857,-1.870828693,1,2.272727273
137,0,-1.120147766,-1.826509808,1.083333333,3.045454545
138,1,0.239755237,-1.870828693,1.416666667,2.545454545
139,0,-0.29670635,-1.717811746,2.25,3.045454545
140,0,-0.421455428,-1.861728465,1.416666667,4.090909091
141,1,-0.232507807,1.6624263,2.75,2.954545455
142,5,0.253360279,-1.815207724,1.333333333,1.954545455
143,5,-0.152584886,-1.858169485,1,2.818181818
144,1,0.111920277,-0.55119819,1,2.409090909
145,0,-0.091642833,-0.255774433,3.333333333,4.590909091
146,1,-0.431695641,0.063481782,1.833333333,3.087525917
147,2.5,-0.210101529,0.373854323,2.333333333,3.681818182
148,4.5,0.295509978,-0.212855452,4.666666667,3.545454545
149,3.5,-0.951458384,-1.810793455,1.666666667,3.090909091
150,2.5,0.298437921,0.537381501,2.166666667,3.909090909
151,2,0.47609947,1.853350212,4.75,5.318181818
152,2,-0.298239518,-1.184829067,1.916666667,2.909090909
153,5,-0.445531202,-1.186516426,2.083333333,3.318181818
154,4.5,-0.860482755,-0.269098111,4,5.590909091
155,0,-0.384619696,1.774597598,2.75,3.136363636
156,2,-1.029834523,-1.851313395,1.166666667,2.318181818
157,4.5,-0.108419891,-1.387385886,3.75,3.227272727
158,5,-0.369366541,1.849224592,4.083333333,4.772727273
159,4.5,-0.620103768,-0.059013448,1.916666667,3
160,5.5,-0.440588861,-0.335111124,3.583333333,4.045454545
161,1,-0.881323074,1.852396434,4.416666667,5.590909091
162,5,-0.38711181,-0.990667989,1,2.272727273
163,6,-0.794939147,-1.79757692,1.166666667,2.5
164,5,-0.356675933,-1.613715825,3.083333333,4.318181818
165,5,0.024882651,1.769987034,4.916666667,4.363636364
166,5,-0.122877594,1.805993498,5.25,5.590909091
167,3,-1.019201006,1.429179202,3.083333333,4.863636364
168,6,-0.009392641,1.016956108,3.25,2.363636364
169,5,-0.516160095,1.816855079,4.916666667,5.863636364
170,6,0.635666472,1.861728465,1.833333333,2.409090909
171,4.5,0.015425178,0.23204774,1.666666667,4.045454545
172,4.5,-0.935276404,-1.713572172,3.25,4.090909091
173,5,0.678544334,-1.644618487,4,3.454545455
174,3,-0.182757581,1.642599087,2.083333333,3.181818182
175,1.5,-0.792840818,-0.746244909,3.166666667,2.772727273
176,1.5,-0.29658678,0.490613651,3.75,4.590909091
177,3,0.062826478,-1.853350212,2.5,2.818181818
178,1,-0.467198579,1.552568298,2.333333333,3.227272727
179,5,-0.206903236,0.472656593,4.5,4.5
180,0,-0.820745986,1.766506685,5.666666667,5.772727273
181,6,-0.034496934,1.817903918,3.333333333,3.045454545
182,3,0.103137203,0.157972899,3.333333333,2.9
183,2.5,-0.218318075,-1.86440444,1.25,3.55
184,1,-0.268755361,1.602793436,5.583333333,5.3
185,0,0.142335258,-1.810793455,1.416666667,2.9
186,0,-1.156506977,-1.459079656,3.75,3.45
187,0.5,0.248108002,1.724475523,4.916666667,5.15
188,2,-0.190668853,1.422707414,2.25,2.85
189,0,0.134994679,-1.727675093,1.166666667,1.55
190,0.5,-0.404100861,-1.806236606,1.083333333,1.95
191,0,0.209587334,1.336857819,4.75,3.7
192,0,0.746962401,-1.771212896,3.583333333,2.6
193,0,-0.576736199,-1.045416747,2.5,3.55
194,0,0.011762112,-1.742412607,1.916666667,1.9
195,2,0.724075966,-1.806138401,1,1.55
196,1,0.375163885,-1.830479669,4.25,3.4
197,0,-0.599489139,-1.800304388,1.916666667,3.4
198,0,0.262982582,-1.784779538,1.25,3.1
199,4,-0.047915709,-1.86053953,1.416666667,2.3
200,0,-0.567839251,-1.823492022,2.083333333,3.05
201,1,0.098838973,-1.630407264,2.666666667,3.25
202,6,0.699387217,-1.842032825,1.333333333,1.9
203,0,-0.262019625,-1.857122804,1.333333333,2.5
204,0,-0.330753036,-1.48300497,2.916666667,2.85
205,0,-0.284047198,-1.819233754,1.916666667,2.9
206,0,-0.262316547,-1.843289122,1.583333333,3.15
207,0,-0.375565111,-1.836492864,3.333333333,2
208,0,-0.222296672,-1.587044555,1.333333333,4.3
209,0,-0.27982907,-1.855378042,1.583333333,2.25
210,0,-0.274157693,-1.721664742,2.333333333,4.45
211,0,-0.230994403,-1.666821698,1.25,3.7
212,0.5,-0.246962586,-1.8177073,1.833333333,3.3
213,1,-0.233475318,-1.839579573,2.083333333,3.4
214,0,-0.283403516,-1.868002971,1.5,1.85
215,0,-0.365488972,-1.711109259,3.333333333,2.4
216,0,-0.247051394,-1.706063575,1.083333333,2.45
217,0,-0.275776806,-1.870828693,1.5,2.25
218,0,-0.213954416,-1.859602016,1,4.1
219,0,-0.267140005,-1.563851911,1.833333333,3.3
220,6,-0.556386113,1.832457724,4.083333333,2.5
221,0.5,-0.145149372,-1.8543453,1.833333333,2.541666667
222,2.5,-0.205631395,-1.855156889,1.916666667,2.541666667
223,2,-0.4946621,-1.844782075,2.75,2.875
224,6,0.035711145,-1.861874248,1.166666667,1.916666667
225,0,-0.364511193,1.692268246,4.5,4.083333333
226,1.5,-0.048608737,-1.69365446,1.25,2.333333333
227,1,-0.623016878,1.735497678,1.5,2.708333333
228,1,-0.620025273,1.407526936,4.5,4.259952262
229,3,-0.144094093,-1.821680136,1.083333333,1.75
230,0.5,-0.204845755,-1.718909876,2,3.166666667
231,1,-0.83522595,-1.828073811,1.416666667,2.166666667
232,0,-0.877639088,-1.819435305,1.833333333,2.416666667
233,0,-0.04074892,1.801610903,3.333333333,3.041666667
234,2,-0.165204406,-1.81133241,1,2.75
235,1,0.05433074,-0.815203632,1,2.541666667
236,0.5,-0.380917176,0.422665155,1.833333333,3.208333333
237,2,-0.452567946,1.310980578,3.083333333,3.734300467
238,3,-0.246961118,-1.769864427,4.666666667,3
239,3.5,-0.506258498,-0.114492857,3.916666667,4.875
240,4.5,-0.387299113,1.811314951,2,2.833333333
241,0,-0.780663402,-1.622296716,3.5,3.370565773
242,5,-0.97565929,-0.137037742,3.5,2.875
243,1,-0.635656855,1.836492864,4.25,3.5
244,1,0.373994011,-1.481072716,3.833333333,4.125
245,5,-0.247883861,1.529975153,4.333333333,4.175904923
246,3,0.286126005,1.695519485,5.25,5.25
247,6,-0.109782455,1.853350212,2.25,2.541666667
248,6,-0.380487655,-0.963835435,1.916666667,3.166666667
249,6,0.335695835,-1.133421455,3,3.416666667
250,6,0.703129661,-1.600169339,1.75,3.125
251,2,-0.941025602,-1.548070703,2.25,2.583333333
252,1,0.274700081,-1.762686998,1.416666667,3
253,1,0.504377336,-0.387644601,4.333333333,2.291666667
254,0,-0.244492692,-1.76069664,1.166666667,2.666666667
255,2.5,-0.333709527,0.939014415,6.083333333,3.791666667
256,0,0.168859536,-1.63632624,4,3.541666667
257,0.5,-0.434803185,1.661828727,2.916666667,2.166666667
258,6,0.29890993,1.807196761,4.166666667,4.18436706
259,5,-0.402087827,-0.785905248,1.833333333,3.5
260,2.5,0.385141356,-1.62576507,1.583333333,1.791666667
261,0,-0.851906954,-1.80268026,4.166666667,3.333333333
262,0,-0.331840251,-1.858169485,2,2.208333333
263,1,0.078981639,-0.492721591,3.583333333,3.640579329
264,0,-0.144838083,-1.86053953,1.583333333,2.690843914
265,1,-0.422197747,-1.815207724,1.5,2.633605531
266,0,-0.230324811,-1.83994305,1.5,2.65947058
267,0,-0.50040771,-0.989675383,1,2.617220057
268,2,-0.513674062,-0.669010154,2.583333333,3.198641542
269,2.5,-0.141499816,0.550791055,2.666666667,3.461983248
270,2.5,-0.064560623,-0.710878044,4.333333333,3.830923056
271,5,-0.065635446,-1.225468502,3.083333333,3.251698686
272,2,-0.026589165,-0.82720129,2.833333333,3.290507053
273,1,-0.131130872,-1.007763628,2.833333333,3.269158921
274,4,-0.036788693,-1.782565193,2.416666667,2.935603652
275,3,0.281766016,1.185533718,2.083333333,3.387864932
276,2,-0.339497241,0.516775704,4.833333333,4.218831758
277,1.5,-0.180855065,-0.651480715,2.592283453,3.235520282
278,4,-0.112741929,-0.180343076,2.968756961,3.413103879
279,3,-0.304227811,-0.373977433,2.871651877,3.349381373
